INDEX	INTERNEL_INDEX	ARTICLE_TITLE	PUBLICATION	LOCATION_COUNTRY	LOCATION_EXACT	LOCATION_TYPE	MONTH	YEAR	SERIOUSNESS	INCIDENT	INCIDENT-CRASH	INCIDENT-CRASH-WITH_ENVIRONMENT	TIME_OF_DAY	WEATHER	ROAD_SURFACE	VEHICLE_GENERAL	DRIVER_AGE	DRIVER_GENDER	DRIVER_NAT_LANG	DRIVER_LOCAL?	DISTRACTED	CAUSE_GIS	WRONG_ATTRIBUTES_BREAKDOWN	PERSISTENT	Link1
46	127	Quirky World: Map mix-up embarrasses Romanian minister	Irish Examiner	Belgian	"@44.9905393,-0.4750762,15z"	Urban	3	2015	low	detour				no	paved road	car		M	no	no	no	toponym disambiguation		no	
47	137	Crash highlights GPS flaws; Official says some navigation companies do not have up-to-date maps	Charleston Daily Mail (West Virginia)	United States	"@37.4302828,-81.5507323,17.58z"	Rural	6	2012	medium	crash	crash with environment	building/wall/guardrail/pole	evening/night	no	paved road	truck			yes		no	missing or incorrect geographic objects		no	
48	140	"Texting-driving law nets 273 Ohio tickets; In state law's first year, 12 citations are made in Montgomery County.; PUBLIC SAFETY"	Dayton Daily News (Ohio)	United States		Urban	3	2014	low	detour			morning/afternoon	no	paved road	car	41	M	yes	yes	yes				
49	149	Apple Australia map glitch: Snakes! In the desert!	Financial Mirror	Australia			11	2012	low	stranded/stuck				extreme	dirt road	car				no	no	incorrect routing preference		Yes	
50	151	IT TOOK A SATNAV JUST 18 SECONDS TO TEAR TWO FAMILIES APART; The death of cyclist Tony Hilson at the hands of a motorist who took her eyes off the road has left behind a mother and two children overwhelmed by their loss	The Sunday Telegraph (London)	United Kingdom	"@51.4866719,-0.8718738,16.2z"	Urban	9	2012	major-death	crash	crash with vehicle			no	paved road	car	38	F	yes		yes				
51	153	EMAS introduce 999 changes to Kirkby street after paramedics fail to find address because of misleading Sat Nav	Mansfield and Ashfield Chad	United Kingdom	"@53.093404,-1.2526874,17.3z"	Urban	7	2014	low	detour				no	paved road	SPV			yes	yes	no	geocoding		yes	
52	154	SATNAV ADVERTISEMENT THAT LANDS YOU WITH A å£120 BUS LANE FINE	The Evening Standard (London)	United Kingdom	"@51.5080657,-0.1292924,17.48z"	Urban	6	2010	low	trespass				no	paved road	car					no	missing or incorrect attributes	traffic rule		
53	155	GPS to blame ~ driver	Herald Sun (Australia)	Australia	"@-37.7952001,144.8902641,17z"	Urban	1	2010	major-death	crash	crash with pedestrian		evening/night	no	paved road	car	39	M	yes		yes				
54	158	"Police: Galena man strikes landfill gate, blames GPS"	"Telegraph Herald (Dubuque, IA)"	United States	"@42.464807,-90.7767748,15.54z"	Urban	12	2014	medium	crash	crash with environment		evening/night	no	paved road	car	25	M	yes	no	no	instruction/visualization			
55	175	Satnav a dodgy bogger	Herald Sun (Australia)	Australia	"@-37.3349022,148.2774463,10.64z"	Rural	6	2010	low	stranded/stuck			evening/night	no	dirt road	car			yes	no	no	missing or incorrect attributes	road characteristics	yes	
